Behavior ID	Object Name	Image Name	Raw Kaze Description
0x0000	Star Door	Star Door.png	Star Door Behavior
0x0054	Mr. I Pupil	Mr. I Pupil.png	Mr I. Behavior
0x008C	Mr. I Body	Mr. I Body.png	Mr. I Body
0x00AC	Mr. I Particle	Mr. I Particle.png	Mr I Particle
0x00F8	Pink Particle	Mr. I Particle.png	Giant Piranha Particle [also getting hit with mr. I particle]
0x0118	WF Big Pole	WF Big Pole.png	Giant Pole (Whomp's Fortress)
0x0144	Pole Behavior	Pole Behavior.png	Pole Grabbing
0x0174	THI Wiggler's Cave Cover	THI Wiggler's Cave Cover.png	TH Island Top Trap Behavior
0x0194	THI Wiggler's Cave Cover	THI Wiggler's Cave Cover.png	Tiny Island Top
0x01AC	Cap Switch Base	Cap Switch Base.png	cap switch collision child
0x01CC	Cap Switch Button	Cap Switch Button.png	Activate Cap Switch
0x01F4	King Bob-omb	King Bob-omb.png	King Bob-omb behavior
0x0254	King Bob-omb Anchor	King Bob-omb Anchor.png	Anchor Mario (King Bob-Omb)
0x0278			Beta chest
0x029C	Chest Top	Chest Top.png	Beta chest upper part - subobject
0x02B8	Bubble Spawner	Bubble Spawner.png	Bubble (Mario)
0x02C4			swimming related
0x02E4	Splash Bubble	Splash Bubble.png	Spawned with model id A8 (bubble?)
0x0338	Bubble	Bubble.png	Small water wave (Mario)
0x03BC	HP Bubble	HP Bubble.png	water bubble replenishing health
0x0400	Splash Bubble (Under Water)	Splash Bubble 2.png	small reddish particle//Water particles
0x0428			Water waves
0x0444			small reddish particle//Snow particle
0x046C	Aquarium Bubble	Splash Bubble.png	small reddish particle//Snow particle//bubbles?
0x0494	Aquarium Bubble Spawner	Aquarium Bubble Spawner.png	Aquarium Fish Group
0x04A8	Cannon Base	Cannon Base.png	Opened Cannon
0x04E4	Cannon Shaft	Cannon Shaft.png	Cannon barrel
0x0500	Cannon Base	Cannon Base.png	Cannon base
0x0528	Chuckya	Chuckya.png	Chuckya Behavior
0x0584	Chuckya Anchor	Chuckya Anchor.png	Anchor Mario (Chuckya)
0x05A8			>>>>>>>>>>Unused Behavior?
0x05B4	Rotating Platform	WDW Rotating Platform.png	Rotating Platform Behavior
0x05D8	WF Tower	WF Tower.png	Tower Behav
0x0600	Bullet Bill Blaster	Bullet Bill Blaster.png	Bullet Bill Cannon Behav
0x0624	Blastable Corner	Blastable Corner.png	Breakable Wall
0x0638	Blastable Corner	Blastable Corner.png	Breakable Wall 2 
0x066C	Falling Plank	Falling Plank.png	Kickable Board
0x06A4	WF Tower Breakable Block	WF Tower Breakable Block.png	Tower Door Behav
0x06D8	Rotating Bridge	Rotating Bridge.png	Rotating counter-clockwise (bridge in Whomp's Fortress) (srsly?)
0x06E0	WF Rotating Bridge	WF Rotating Bridge.png	Clock-Like Rotation
0x0708	Water Shell	Shell.png	Koopa Shell PowerUp (underwater)
0x0720			Exit Podium Warp
0x075C	Teleport	Teleport.png	Fading Warp
0x0780	Warp	Warp.png	Warp
0x07A0	Warp Pipe	Warp Pipe.png	Warp (Pipe)
0x07DC	White Puff / Sand / Dirt / Snow	White Puff.png	Scutlebug explosion (or any other white puff)
0x07F8	Power Star	Power Star.png	Spawned star (takes mother object coordinates)
0x080C	Power Star	Power Star.png	>>>>>>>>>>Unused Behavior? (Runs By 100 Coin), toad star
0x0830	Blue Coin	Blue Coin.png	Blue coin from Mr.I
0x0888	Boo Coin	Boo Coin.png	Coin inside of Boo
0x08D0			coin in formation spawn+deactivator?
0x08EC	Coin Spawner	Coin Ring Spawner.png	Coin Formation
0x090C	One Coin	Yellow Coin.png	One Coin
0x091C	Yellow / Blue Coin	Yellow Coin.png	Collectable Coin
0x0940	Temporary Coin	Yellow Coin.png	temporary coin
0x0964			Three coins spawn
0x0984			Ten coins spawn
0x09A4			single coin gets spawned
0x09E0	Sparkles (Big)	Sparkles (Big).png	Sparkles (from all types of coins)
0x0A14	Sparkles (Small)	Sparkles (Small).png	Sparkles (from golden coins)
0x0A34	Star Particle	Star Particle.png	Tiny star particle (when Mario bumps a wall)
0x0A54	Star Particle Spawner	Star Particle Spawner.png	Tiny star particle spawn (when Mario bumps a wall)
0x0A64			spawns tiny star particles
0x0A78	Star Particle	Star Particle.png	Tiny star particle (from ground pound)
0x0A98	Star Particle Spawner	Star Particle Spawner.png	Tiny star particle spawn (from ground pound)
